year,orig,dest,flow
1991,Bahia,Maranhão,2383
1991,Bahia,Piauí,2986
1991,Bahia,Ceará,5193
1991,Bahia,Rio Grande do Norte,2372
1991,Bahia,Paraíba,3469
1991,Bahia,Pernambuco,18550
1991,Bahia,Alagoas,6477
1991,Bahia,Sergipe,18215
1991,Bahia,Minas Gerais,28959
1991,Bahia,Espírito Santo,24086
1991,Bahia,Rio de Janeiro,19026
1991,Bahia,São Paulo,248599
1991,Bahia,Paraná,3880
1991,Bahia,Santa Catarina,1096
1991,Bahia,Rio Grande do Sul,2106
1991,Bahia,Mato Grosso do Sul,1692
1991,Bahia,Mato Grosso,6591
1991,Bahia,Goiás,28191
1991,Bahia,Distrito Federal,22443
1991,Minas Gerais,Rondônia,11240
1991,Minas Gerais,Acre,303
1991,Minas Gerais,Amazonas,1046
1991,Minas Gerais,Roraima,277
1991,Minas Gerais,Pará,8004
1991,Minas Gerais,Amapá,210
1991,Minas Gerais,Tocantins,3802
1991,Minas Gerais,Maranhão,2134
1991,Minas Gerais,Piauí,431
1991,Minas Gerais,Ceará,1858
1991,Minas Gerais,Rio Grande do Norte,1259
1991,Minas Gerais,Paraíba,735
1991,Minas Gerais,Pernambuco,2658
1991,Minas Gerais,Alagoas,566
1991,Minas Gerais,Sergipe,585
1991,Minas Gerais,Bahia,18314
1991,Minas Gerais,Espírito Santo,51402
1991,Minas Gerais,Rio de Janeiro,45555
1991,Minas Gerais,São Paulo,236086
1991,Minas Gerais,Paraná,9746
1991,Minas Gerais,Santa Catarina,2066
1991,Minas Gerais,Rio Grande do Sul,2501
1991,Minas Gerais,Mato Grosso do Sul,5064
1991,Minas Gerais,Mato Grosso,10406
1991,Minas Gerais,Goiás,35795
1991,Minas Gerais,Distrito Federal,27355
1991,Espírito Santo,Rondônia,14695
1991,Espírito Santo,Acre,125
1991,Espírito Santo,Amazonas,215
1991,Espírito Santo,Roraima,57
1991,Espírito Santo,Pará,3935
1991,Espírito Santo,Amapá,24
1991,Espírito Santo,Tocantins,143
1991,Espírito Santo,Maranhão,311
1991,Espírito Santo,Piauí,153
1991,Espírito Santo,Ceará,602
1991,Espírito Santo,Rio Grande do Norte,355
1991,Espírito Santo,Paraíba,142
1991,Espírito Santo,Pernambuco,565
1991,Espírito Santo,Alagoas,120
1991,Espírito Santo,Sergipe,195
1991,Espírito Santo,Bahia,9372
1991,Espírito Santo,Minas Gerais,27725
1991,Espírito Santo,Rio de Janeiro,16980
1991,Espírito Santo,São Paulo,8864
1991,Espírito Santo,Paraná,1292
1991,Espírito Santo,Santa Catarina,624
1991,Espírito Santo,Rio Grande do Sul,551
1991,Espírito Santo,Mato Grosso do Sul,278
1991,Espírito Santo,Mato Grosso,1153
1991,Espírito Santo,Goiás,1171
1991,Espírito Santo,Distrito Federal,1261
1991,Rio de Janeiro,Rondônia,2381
1991,Rio de Janeiro,Acre,433
1991,Rio de Janeiro,Amazonas,3033
1991,Rio de Janeiro,Roraima,742
1991,Rio de Janeiro,Pará,5853
1991,Rio de Janeiro,Amapá,418
1991,Rio de Janeiro,Tocantins,578
1991,Rio de Janeiro,Maranhão,4510
1991,Rio de Janeiro,Piauí,2048
1991,Rio de Janeiro,Ceará,13417
1991,Rio de Janeiro,Rio Grande do Norte,9730
1991,Rio de Janeiro,Paraíba,18135
1991,Rio de Janeiro,Pernambuco,12045
1991,Rio de Janeiro,Alagoas,3751
1991,Rio de Janeiro,Sergipe,4348
1991,Rio de Janeiro,Bahia,14677
1991,Rio de Janeiro,Minas Gerais,58084
1991,Rio de Janeiro,Espírito Santo,29262
1991,Rio de Janeiro,São Paulo,63291
1991,Rio de Janeiro,Paraná,8773
1991,Rio de Janeiro,Santa Catarina,5656
1991,Rio de Janeiro,Rio Grande do Sul,8434
1991,Rio de Janeiro,Mato Grosso do Sul,4019
1991,Rio de Janeiro,Mato Grosso,2413
1991,Rio de Janeiro,Goiás,5710
1991,Rio de Janeiro,Distrito Federal,13330
1991,São Paulo,Rondônia,8179
1991,São Paulo,Acre,782
1991,São Paulo,Amazonas,2623
1991,São Paulo,Roraima,579
1991,São Paulo,Pará,5656
1991,São Paulo,Amapá,323
1991,São Paulo,Tocantins,3290
1991,São Paulo,Maranhão,5760
1991,São Paulo,Piauí,10821
1991,São Paulo,Ceará,28584
1991,São Paulo,Rio Grande do Norte,13181
1991,São Paulo,Paraíba,18649
1991,São Paulo,Pernambuco,52322
1991,São Paulo,Alagoas,13360
1991,São Paulo,Sergipe,10192
1991,São Paulo,Bahia,58544
1991,São Paulo,Minas Gerais,145823
